Name,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
inactive33,6,9,3,2,0,9,3,3,5,2,8,8,4,2,1,9,9,9,2,9
active2,9,9,2,1,2,3,6,8,4,6,2,10,2,0,8,8,10,9,8,8
inactive103,1,0,7,10,3,10,6,0,7,3,1,5,2,2,6,10,7,2,2,4
inactive53,6,1,1,5,1,5,10,2,0,6,10,4,5,6,5,9,3,4,2,4
inactive56,3,3,5,9,7,8,0,3,8,1,8,5,5,9,5,7,2,5,9,6
inactive81,0,5,3,9,9,0,5,2,2,3,8,0,2,4,7,1,6,7,6,3
inactive127,5,3,7,1,0,9,2,5,2,8,6,8,2,0,9,4,7,3,4,9
inactive164,9,2,2,8,3,9,7,1,5,10,10,3,9,4,4,10,10,5,3,4
inactive91,5,4,5,9,0,3,3,10,10,4,1,6,5,10,10,6,4,7,4,3
inactive45,0,3,7,0,8,6,10,7,0,5,10,9,2,4,2,4,1,9,10,5
inactive172,6,9,10,4,7,2,3,0,2,9,9,0,10,7,10,3,6,8,10,9
inactive98,4,5,7,3,9,6,1,1,2,5,6,3,5,5,6,0,10,3,5,7
inactive120,2,1,6,7,2,3,5,2,8,7,3,4,5,4,9,5,2,5,0,6
inactive110,0,0,5,7,0,0,8,3,3,1,4,10,4,8,1,4,9,7,10,4
inactive48,9,4,0,4,0,7,3,0,7,6,3,6,10,0,4,6,2,3,6,2
inactive167,6,0,2,2,8,9,10,1,10,10,1,3,3,7,5,4,1,5,10,6
inactive143,10,7,8,6,4,4,7,1,1,1,8,6,7,9,5,0,7,8,10,5
active9,10,9,2,2,3,3,6,7,2,6,0,10,3,0,7,8,10,10,10,8
inactive51,4,1,0,4,6,0,4,0,9,5,8,7,4,1,4,9,6,1,5,10
inactive69,7,1,5,6,1,2,8,4,1,10,1,0,7,9,7,0,9,4,6,1
inactive82,1,8,4,6,9,7,1,3,3,0,0,0,9,5,3,3,4,6,2,8
inactive68,8,9,0,8,6,9,7,2,4,7,3,10,8,5,4,9,3,2,4,10
inactive59,3,6,6,8,7,7,4,0,6,10,2,5,7,7,8,9,10,4,3,10
inactive123,10,10,3,0,0,3,6,4,3,4,2,8,1,6,4,9,7,7,1,0
inactive173,7,10,5,0,0,2,8,4,7,9,7,8,1,1,7,3,7,8,3,1
inactive5,1,3,2,3,4,3,0,4,7,1,10,3,9,6,5,3,2,7,1,2
inactive96,3,2,0,5,5,4,3,8,1,0,2,9,1,5,7,7,2,6,10,6
active7,10,10,3,1,4,2,7,8,3,6,1,10,1,2,9,10,10,10,9,9
inactive180,9,10,7,5,8,10,2,6,5,10,10,0,9,8,0,7,10,10,7,1
inactive148,5,0,1,8,7,0,9,10,7,0,2,3,4,3,7,8,8,7,3,7
inactive50,4,3,3,6,2,6,1,2,0,0,3,2,5,3,7,10,8,6,6,3
inactive182,1,0,8,5,3,4,7,0,0,4,0,10,7,0,9,1,10,5,9,5
inactive137,9,7,10,3,10,4,4,3,4,5,10,2,9,6,2,6,9,3,2,1
inactive140,3,10,4,2,5,5,4,5,4,7,1,3,3,1,4,10,10,1,1,9
inactive30,0,9,0,2,8,4,10,1,10,7,0,0,8,3,10,1,8,3,10,7
inactive131,4,3,6,7,9,3,5,6,1,4,10,7,1,10,6,9,2,5,4,0
inactive78,0,7,4,2,3,3,0,3,5,6,1,0,10,6,5,4,6,6,5,4
inactive126,5,9,2,4,9,8,10,9,9,4,2,1,10,9,9,6,1,10,10,8
inactive6,2,0,7,10,2,1,8,0,8,10,4,10,1,9,3,2,5,2,1,10
inactive111,7,2,9,4,0,7,3,10,1,5,4,2,10,7,3,0,4,2,0,4
inactive151,10,8,1,7,7,9,8,3,0,1,7,8,2,6,6,0,8,8,8,8
inactive144,7,0,6,8,3,7,7,5,5,0,6,3,1,8,4,0,0,7,2,10
inactive150,10,10,2,9,6,10,7,0,0,7,1,2,3,8,10,1,4,9,8,0
inactive64,9,3,0,10,0,5,1,2,10,5,1,6,5,1,7,9,1,3,6,7
inactive11,4,7,5,6,8,10,8,5,7,10,5,3,3,9,10,9,4,7,1,9
inactive84,7,10,1,10,9,10,0,4,5,6,1,3,6,9,7,3,1,3,10,6
inactive14,1,1,6,2,1,3,5,3,7,2,3,1,3,6,8,8,4,0,5,0
inactive112,1,9,3,6,7,7,4,1,3,7,7,1,10,5,8,1,6,2,4,5
inactive114,0,2,2,8,7,6,0,2,3,0,8,2,2,9,0,1,3,5,5,6
inactive130,2,10,4,6,4,2,9,8,4,0,10,1,0,3,5,0,3,10,8,4
inactive16,2,10,10,0,5,9,9,6,9,6,2,0,4,1,2,0,4,5,5,10
inactive24,0,8,6,2,8,8,7,3,3,3,8,5,2,6,4,5,6,5,9,6
inactive23,3,8,1,9,0,0,8,0,6,4,3,2,8,10,4,5,4,6,8,0
inactive94,4,8,10,2,0,3,7,4,10,9,2,7,1,0,7,2,1,6,8,2
inactive4,1,0,0,3,3,3,10,10,10,6,0,1,10,3,10,1,7,4,0,3
active5,10,9,2,0,2,3,8,7,3,7,0,8,3,1,8,10,10,9,9,7
inactive115,9,2,3,0,3,3,1,9,8,8,0,0,3,9,1,0,2,1,8,0
inactive186,2,10,0,10,5,7,3,7,8,8,10,0,2,0,1,0,8,2,1,5
inactive22,1,6,6,3,8,0,7,7,9,0,4,5,1,9,8,7,0,0,6,9
inactive162,0,8,6,10,7,4,3,2,2,4,3,10,4,1,3,0,10,5,5,5
inactive7,3,5,7,10,3,1,1,3,10,2,6,0,5,5,10,6,1,8,2,5
inactive124,10,7,2,3,0,4,9,0,9,6,7,4,4,1,5,4,7,5,1,8
inactive70,1,3,0,6,2,6,0,6,7,3,2,10,6,0,5,1,3,10,1,5
inactive46,0,7,2,4,7,5,8,3,2,8,9,2,1,4,1,3,6,7,7,8
inactive92,6,10,5,8,6,2,3,9,10,7,0,7,2,7,0,7,5,6,3,9
inactive47,8,6,4,10,10,5,9,6,10,4,2,7,2,7,3,2,10,4,1,8
inactive66,0,1,4,2,10,2,4,10,7,7,1,0,6,6,9,0,9,1,6,8
inactive12,7,4,3,10,5,4,6,9,5,0,1,5,2,10,5,9,9,5,10,5
inactive176,8,4,4,9,9,2,0,1,3,1,2,0,0,5,3,4,1,1,7,10
inactive83,7,9,5,2,10,0,3,6,1,1,5,2,1,3,4,5,6,2,7,2
inactive119,1,0,3,10,6,3,7,7,2,8,0,6,7,1,4,8,7,5,6,0
inactive27,10,1,0,7,3,4,3,10,6,8,4,1,9,0,3,7,3,8,8,4
inactive63,10,1,2,10,6,7,3,8,9,9,9,3,1,0,4,8,5,4,3,9
inactive2,10,3,3,9,1,0,10,9,9,4,0,6,6,7,0,7,7,9,8,6
inactive80,10,2,10,8,2,8,6,4,4,9,0,5,2,1,1,2,10,9,6,7
inactive13,2,10,4,9,0,9,10,2,7,8,8,10,9,5,3,8,3,0,3,10
inactive52,4,2,4,2,4,8,9,4,7,0,9,9,1,7,5,8,5,4,2,2
inactive9,9,1,8,9,10,5,3,6,0,0,8,0,5,6,8,9,10,4,10,3
inactive26,10,3,6,2,0,0,1,6,0,2,7,8,7,3,7,1,0,10,6,7
inactive166,9,5,3,7,4,9,0,3,8,3,4,1,8,9,7,9,7,3,4,0
inactive90,1,9,10,4,8,10,7,1,5,0,9,2,8,3,7,2,6,7,9,6
inactive174,4,2,7,8,8,4,6,9,4,3,6,2,5,3,6,5,6,6,6,1
inactive128,8,3,0,9,10,7,9,8,0,7,0,10,7,0,8,5,5,0,6,1
inactive38,2,2,7,8,9,2,5,1,0,6,10,3,1,7,8,9,2,6,10,10
inactive1,0,9,9,1,0,7,0,5,2,1,10,2,8,2,6,3,10,7,7,10
inactive57,10,6,4,9,4,2,4,4,5,1,3,7,2,7,1,3,0,1,6,5
inactive175,2,5,4,8,9,2,7,5,5,8,7,6,4,4,9,10,4,10,3,10
inactive121,8,10,8,7,4,5,0,8,9,8,5,8,0,1,10,2,7,6,6,7
active4,10,8,2,0,3,3,8,7,4,5,2,10,3,0,9,8,10,10,10,9
inactive145,6,6,4,4,5,6,1,0,1,9,7,4,6,10,3,7,2,3,7,0
inactive67,0,1,2,2,7,3,4,10,9,2,6,5,7,3,0,1,6,5,4,10
inactive101,10,8,3,5,10,10,2,4,1,10,4,7,3,1,2,2,0,10,0,6
inactive61,7,6,1,0,2,6,0,3,1,1,8,6,9,3,9,2,2,0,9,6
inactive136,5,10,6,10,0,5,10,9,10,4,10,4,9,4,6,0,9,3,4,5
inactive188,7,0,1,5,7,0,3,1,7,3,10,0,1,9,8,0,3,9,5,0
inactive153,6,9,9,5,8,1,10,1,0,7,10,10,7,7,4,3,0,2,9,8
inactive88,10,6,6,2,1,3,5,9,5,6,8,7,7,8,10,7,1,3,0,2
inactive60,7,3,8,10,9,9,8,3,5,3,4,10,7,2,7,10,8,2,2,10
inactive31,4,5,10,7,2,1,10,6,10,8,9,5,7,0,6,3,3,9,2,1
inactive158,10,1,9,3,7,9,6,9,8,7,0,10,9,0,7,5,8,7,10,0
inactive183,5,7,4,7,6,6,9,5,8,8,0,5,7,8,5,5,9,3,5,1
inactive102,1,9,2,1,2,5,4,5,2,1,9,4,7,7,3,6,2,5,8,4
inactive135,4,7,2,3,10,1,1,8,4,6,10,1,4,1,4,3,3,7,8,3
inactive58,6,6,4,5,2,1,0,10,1,10,2,3,8,9,10,7,3,3,7,4
inactive109,3,1,5,3,6,6,8,7,3,0,7,4,0,9,10,7,7,4,0,10
inactive139,5,1,2,8,8,7,8,9,5,0,8,10,1,8,5,3,0,6,1,8
inactive149,5,5,0,1,1,1,3,1,10,0,0,0,10,4,4,6,6,8,1,4
inactive165,5,10,9,3,2,4,4,10,4,10,2,2,9,6,1,3,5,8,8,6
inactive108,4,5,6,10,5,6,3,0,3,5,5,7,8,7,2,4,3,7,4,3
inactive21,9,0,1,5,1,8,3,4,6,9,0,7,9,6,0,1,4,1,8,0
inactive179,5,3,9,3,10,0,9,3,1,3,1,8,10,1,3,2,2,10,3,2
inactive44,0,4,7,5,3,7,10,1,10,3,7,6,1,5,3,10,8,9,5,2
inactive39,0,1,4,2,9,10,5,1,9,0,5,5,5,10,5,10,4,5,0,10
inactive77,8,8,6,1,10,5,10,1,3,10,4,3,5,3,1,7,9,2,10,6
inactive19,1,2,5,3,6,4,6,0,8,2,4,7,0,8,6,1,4,7,6,7
inactive170,7,10,2,5,6,8,7,9,10,9,10,1,9,6,1,8,8,0,3,0
inactive105,6,1,9,6,0,9,7,10,3,3,0,10,1,5,9,3,2,10,5,8
inactive161,1,1,5,10,9,4,3,5,3,3,9,1,4,1,10,0,9,1,7,6
inactive129,8,9,8,10,0,8,3,2,4,3,8,1,2,10,7,7,5,8,9,3
inactive62,8,0,5,9,9,10,1,10,5,0,4,6,9,4,5,4,5,6,4,2
inactive189,6,0,0,8,0,1,10,2,8,7,0,0,10,2,1,7,9,0,7,9
inactive160,3,5,4,0,3,1,7,10,7,9,0,4,4,9,10,3,6,1,4,3
inactive107,4,9,5,7,10,4,10,6,3,8,1,7,2,6,3,6,8,2,1,4
inactive10,9,6,2,10,5,6,7,4,8,0,5,7,6,6,7,0,10,1,8,4
inactive35,7,7,5,10,10,7,3,10,10,3,9,0,4,7,8,0,7,8,1,8
inactive72,0,3,7,2,2,0,1,5,2,10,9,1,5,3,7,5,8,2,5,0
inactive28,4,9,9,5,10,8,1,5,9,4,8,4,2,0,5,3,5,4,1,1
inactive29,5,5,5,3,5,9,10,0,0,3,7,7,7,7,9,9,9,4,6,1
inactive32,2,1,6,10,3,0,9,7,4,7,6,10,3,4,7,5,5,5,0,10
inactive73,6,1,3,2,5,9,4,6,1,0,7,2,0,8,0,4,0,9,0,8
inactive41,10,8,3,6,9,10,3,6,6,10,4,2,3,5,10,10,7,2,8,6
active10,9,9,3,2,2,3,7,9,4,5,0,10,2,0,9,10,10,9,9,8
inactive95,0,2,9,7,5,7,0,8,4,4,6,1,8,3,3,7,5,1,3,1
inactive122,10,6,8,5,5,8,8,10,4,1,10,10,2,2,7,5,0,10,4,1
inactive43,1,10,3,10,5,6,3,6,5,3,10,0,9,8,6,2,0,7,3,5
inactive159,5,1,4,1,1,0,8,3,9,10,7,10,0,9,3,9,3,6,5,10
inactive141,3,9,6,3,0,0,7,6,7,4,2,6,10,10,4,0,5,5,3,1
inactive36,10,6,0,5,2,2,8,0,5,0,0,1,1,5,1,2,9,10,4,6
inactive3,5,2,2,3,10,6,1,10,0,8,2,5,0,3,1,8,8,0,3,10
inactive118,6,5,7,5,6,2,4,9,9,0,7,3,1,1,8,3,9,9,4,10
inactive133,4,10,6,1,1,10,1,3,8,7,4,2,0,10,8,9,6,4,10,1
inactive184,10,5,4,0,8,7,7,9,8,4,8,6,5,4,1,4,2,0,8,6
inactive40,3,4,4,2,0,7,4,7,8,5,2,5,9,1,8,4,9,5,0,2
inactive146,3,6,4,2,6,2,0,8,5,1,9,3,5,4,7,9,5,3,4,0
inactive34,2,0,0,1,2,7,3,1,4,5,1,7,5,0,9,7,2,6,0,3
inactive93,1,10,10,0,2,1,9,5,8,2,7,7,1,0,1,5,6,2,7,6
inactive106,9,1,3,6,9,7,8,10,9,5,0,5,5,6,3,9,7,3,10,4
inactive99,4,9,4,10,5,3,1,1,4,2,10,0,0,8,3,2,1,7,7,8
inactive75,7,9,6,1,1,9,0,5,1,6,0,4,1,6,6,6,0,5,8,6
inactive163,6,2,10,9,4,2,4,2,3,6,1,2,1,9,10,2,6,10,4,5
inactive116,0,9,4,6,4,2,4,6,10,8,9,7,6,7,2,3,10,10,9,4
inactive181,9,1,10,8,7,2,0,3,1,9,0,0,6,9,2,4,10,6,10,1
inactive8,10,9,8,4,8,9,8,7,5,3,4,1,5,1,8,10,0,8,2,3
inactive86,4,8,9,9,3,2,10,0,2,3,3,10,1,7,0,6,3,2,3,4
inactive79,3,9,4,10,1,2,3,9,6,4,10,10,2,3,10,9,9,8,8,3
inactive132,4,3,9,3,10,9,5,6,7,7,2,8,9,5,2,7,1,10,0,9
inactive190,7,6,8,3,8,3,0,8,8,4,10,3,1,6,2,3,7,9,5,7
inactive97,0,1,2,6,4,10,7,9,1,5,3,3,6,9,0,8,9,1,1,6
inactive42,2,5,7,0,8,5,9,8,3,8,8,6,7,6,10,3,0,0,0,8
inactive187,1,0,2,1,4,6,8,4,8,4,5,6,4,1,9,10,10,7,3,7
